id,texte,categorie,mots_cles_detectes,confidence
125,"DÉCISION D'EXPULSION\nAffaire: TRIB-2026-078\nParties:\n- Bailleur: SCI Immobilier Paris\n- Locataire: M. Jean Dupont\nMotif: Non-paiement loyers depuis 3 mois\nDécision: Expulsion locataire sous 2 mois\nDate: 31 mars 2026\nDélai: Recours possible dans un délai de 15 jours\nSigné par le Juge","JURIDIQUE","décision expulsion,affaire,parties,bailleur,locataire,motif,non-paiement,loyers,décision,expulsion,délai,recours,juge",0.95
126,"DIAGRAMME D'ACTIVITÉS BPMN\nProcessus: Gestion des réclamations\nActeurs:\n- Client\n- Service client\n- Service technique\nActivités:\n- Enregistrer réclamation\n- Analyser problème\n- Proposer solution\n- Clôturer dossier\nGateways: Exclusif, parallèle\nDonnées: Dossier client, historique","DIAGRAMME","diagramme activités bpmn",0.95
127,"FACTURE N°2026-014\nDate: 01/04/2026\nClient: SARL Architecture Design\nSIRET: 67890123456789\nMontant HT: 3750,00€\nTVA 20%: 750,00€\nMontant TTC: 4500,00€\nNet à payer: 4500,00€\nIBAN: FR94XXXXXXXXXXXXXXX\nBIC: LLLLLLLL\nDate d'échéance: 15/04/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
128,"TICKET DE CAISSE\nMagasin: Franprix République\nDate: 02/04/2026 10:30\nArticles:\n- Céréales: 2,50€\n- Jus d'orange: 1,80€\n- Fromage: 4,20€\n- Chocolat: 2,90€\nTotal TTC: 11,40€\nMoyen de paiement: Carte bancaire\nMerci de votre visite !","RECU","ticket de caisse,magasin,date,céréales,jus orange,fromage,chocolat,total ttc,carte bancaire,merci",0.92
129,"CONTRAT DE FRANCHISE INTERNATIONALE\nEntre:\n- Franchisor: Groupe Restauration Global\n- Franchisee: SARL Food International\nTerritoire: Belgique\nDroits d'entrée: 50 000€\nRedevance: 6% chiffre d'affaires\nDurée: 15 ans\nSupport: Formation initiale 2 semaines\nFait à Bruxelles le 03 avril 2026","CONTRAT","contrat franchise internationale,franchisor,franchisee,territoire,belgique,droits entrée,redevance,chiffre affaires,durée,support,formation initiale,fait à",0.98
130,"BON DE COMMANDE N°BC-2026-058\nDate: 04/04/2026\nRéférence client: CLT-012\nAdresse de livraison:\n45 rue du Commerce, 75015 Paris\nMode d'expédition: Livraison express\nArticles commandés:\n- 10x Uniformes de travail\n- 5x Casquettes personnalisées\n- 1x Panneau signalétique\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles professionnels,uniformes travail,casquettes personnalisées,panneau signalétique,colis",0.91
131,"CERTIFICAT DE NON-CONDAMNATION\nDélivré par le Casier Judiciaire National\nDate: 05/04/2026\nNom: Martin\nPrénoms: Jean Pierre\nDate de naissance: 12/08/1985\nLieu de naissance: Marseille\nExtrait N°: CJN-2026-7890\nMention: Aucune condamnation\nCachet et signature officiels","ADMINISTRATIF","certificat non-condamnation,casier judiciaire national,date,nom,prénoms,date naissance,lieu naissance,extrait numéro,mention,aucune condamnation,cachet,signature officiels",0.97
132,"RAPPORT ANNUEL CSR\nPériode: 2025\nEngagements RSE:\n- Réduction CO2: 22%\n- Emploi local: 45 personnes\n- Formation continue: 25h/salarié\n- Dons aux associations: 25 000€\nCertifications obtenues: ISO 14001, ISO 26000\nObjectifs 2026: Neutralité carbone d'ici 2030","RAPPORT","rapport annuel csr,période,engagements rse,réduction co2,emploi local,formation continue,dons associations,certifications,iso 14001,iso 26000,objectifs,neutralité carbone",0.96
133,"LETTRE DE RECOMMANDATION PROFESSIONNELLE\nÀ l'attention des futurs employeurs\nJe soussigné, Directeur Technique de Tech Innovations, recommande chaleureusement M. Antoine Dubois pour ses compétences exceptionnelles en développement logiciel.\nExpérience: 5 ans dans notre entreprise\nSpécialités: Cloud computing, cybersécurité\nDisponibilité: Immédiate\nContact: direction@techinnovations.fr\nFait à Paris le 06 avril 2026","CV_LETTRE","lettre recommandation professionnelle,attention,futurs employeurs,directeur technique,compétences exceptionnelles,développement logiciel,expérience,spécialités,cloud computing,cybersécurité,disponibilité,contact,fait à",0.97
134,"THÈSE DE DOCTORAT EN SOCIOLOGIE\nTitre: 'Transformations urbaines et inégalités sociales'\nAuteur: Dr. Claire Martin\nUniversité: EHESS\nDirecteur: Prof. Marc Laurent\nDate de soutenance: 01 avril 2026\nJury: 6 membres\nRésumé: Étude longitudinale sur 10 ans des dynamiques urbaines parisiennes...","ACADEMIQUE","thèse doctorat sociologie,titre,auteur,université,ehess,directeur,date soutenance,jury,membres,résumé,étude longitudinale,dynamiques urbaines,parisiennes",0.99
135,"ACTE DE MARIAGE\nCélébré à la Mairie du 8ème arrondissement\nDate: 07 avril 2026\nÉpoux: Jean Martin\nÉpouse: Sophie Dubois\nTémoins:\n- M. Pierre Bernard\n- Mme Élise Laurent\nCélébrant: Mme le Maire Claire Moreau\nCachet officiel de la mairie","JURIDIQUE","acte mariage,mairie,8ème arrondissement,date,époux,épouse,témoins,célébrant,maire,cachet officiel",0.95
136,"DIAGRAMME ENTITÉ-RELATION\nBase de données: Gestion commerciale\nEntités:\n- Client\n  + attributs: id, nom, email\n- Commande\n  + attributs: numéro, date, montant\n- Produit\n  + attributs: référence, nom, prix\nRelations:\n- Client passe Commande (1:N)\n- Commande contient Produit (N:M)\nCardinalités: 0..N, 1..1","DIAGRAMME","diagramme entité-relation,base données,gestion commerciale,entités,client,commande,produit,attributs,id,nom,email,numéro,date,montant,référence,prix,relations,cardinalités",0.94
137,"FACTURE N°2026-015\nDate: 08/04/2026\nClient: SARL Conseil Financier\nSIRET: 78901234567890\nMontant HT: 2800,00€\nTVA 20%: 560,00€\nMontant TTC: 3360,00€\nNet à payer: 3360,00€\nIBAN: FR95XXXXXXXXXXXXXXX\nBIC: MMMMMMMM\nDate d'échéance: 22/04/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.95
138,"TICKET DE CAISSE\nMagasin: Boulangerie du Centre\nDate: 09/04/2026 08:15\nArticles:\n- Baguette tradition: 1,10€\n- Croissant: 1,20€\n- Pain au chocolat: 1,40€\n- Tarte aux pommes: 3,50€\nTotal TTC: 7,20€\nMoyen de paiement: Espèces\nMerci de votre fidélité !","RECU","ticket de caisse,magasin,date,baguette tradition,croissant,pain chocolat,tarte pommes,total ttc,espèces,merci",0.93
139,"CONTRAT DE TRAVAIL TEMPORAIRE\nEntre:\n- Entreprise utilisatrice: Hôtel de Paris\n- Entreprise de travail temporaire: Interim Pro\n- Salarié intérimaire: Mme Sophie Bernard\nPoste: Réceptionniste\nDurée: 2 mois (15 avril-15 juin 2026)\nSalaire: 1800€ brut/mois\nFait à Paris le 10 avril 2026","CONTRAT","contrat travail temporaire,entreprise utilisatrice,entreprise travail temporaire,salarié intérimaire,poste,réceptionniste,durée,salaire,fait à",0.96
140,"BON DE COMMANDE N°BC-2026-059\nDate: 11/04/2026\nRéférence client: CLT-123\nAdresse de livraison:\n20 avenue de la République, 75011 Paris\nMode d'expédition: Livraison standard\nArticles commandés:\n- 1x Table de réunion 8 places\n- 8x Chaises ergonomiques\n- 1x Tableau blanc interactif\nNombre de colis: 3","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles bureau,table réunion,chaises ergonomiques,tableau blanc interactif,colis",0.92
141,"CERTIFICAT DE VACCINATION\nDélivré par le Centre de Santé\nDate: 12/04/2026\nPatient: M. Jean Dupont\nVaccins administrés:\n- COVID-19 (rappel)\n- Grippe saisonnière\n- Diphtérie-Tétanos\nProchain rendez-vous: 12/04/2027\nCachet et signature du médecin","MEDICAL","certificat vaccination,centre santé,date,patient,vaccins administrés,covid-19,grippe saisonnière,diphtérie-tétanos,prochain rendez-vous,cachet,signature,médecin",0.98
142,"RAPPORT DE MISSION CONSULTING\nClient: Groupe Industriel SA\nPériode: Mars-Avril 2026\nMission: Optimisation processus de production\nConstatations:\n- Gains potentiels: 15% productivité\n- Investissements nécessaires: 120 000€\nROI: 18 mois\nRecommandations: Automatisation lignes 2 et 3\nDate rapport: 13 avril 2026","RAPPORT","rapport mission consulting,client,période,mission,optimisation processus production,constatations,gains potentiels,productivité,investissements nécessaires,roi,recommandations,automatisation,date rapport",0.97
143,"LETTRE DE LICENCIEMENT COLLECTIF\nÀ l'attention des salariés concernés\nSociété: Industries Mécaniques SA\nObjet: Plan de sauvegarde de l'emploi\nMadame, Monsieur,\nEn raison de difficultés économiques, nous devons procéder à un PSE affectant 25 postes.\nVotre poste est concerné à compter du 01/07/2026.\nIndemnités: Calcul selon ancienneté + prime spécifique\nAccompagnement: Cellule de reclassement mise en place\nFait à Lyon le 14 avril 2026","CV_LETTRE","lettre licenciement collectif,attention,salariés concernés,société,objet,plan sauvegarde emploi,difficultés économiques,pse,postes,indemnités,ancienneté,prime spécifique,accompagnement,cellule reclassement,fait à",0.96
144,"PUBLICATION DANS REVUE À COMITÉ DE LECTURE\nTitre: 'Nouveaux matériaux supraconducteurs'\nAuteurs: Dr. Pierre Martin, Dr. Élise Bernard\nRevue: Physical Review Letters\nVolume: 128, Numéro 4\nDate: Avril 2026\nDOI: 10.1103/PhysRevLett.128.047001\nRésumé: Découverte de matériaux supraconducteurs à température ambiante...","ACADEMIQUE","publication revue comité lecture,titre,auteurs,revue,physical review letters,volume,numéro,date,doi,résumé,découverte,matériaux supraconducteurs,température ambiante",0.99
145,"DÉCISION DE GARDE D'ENFANTS\nAffaire: Fam-2026-045\nParties:\n- Père: M. Jean Dupont\n- Mère: Mme Sophie Martin\nEnfants: Léa (8 ans), Thomas (6 ans)\nDécision: Garde alternée (1 semaine/1 semaine)\nPensions alimentaires: 300€/mois/enfant\nDroit de visite: Week-ends 1 sur 2\nDate: 15 avril 2026","JURIDIQUE","décision garde enfants,affaire,parties,père,mère,enfants,garde alternée,pensions alimentaires,droit visite,date",0.94
146,"DIAGRAMME DE PERT\nProjet: Construction bâtiment\nDurée totale: 18 mois\nTâches critiques:\n- Fondations: 2 mois\n- Structure: 4 mois\n- Façade: 3 mois\n- Intérieur: 5 mois\nMarge libre: Tâches non critiques ont 15-30 jours de marge\nDate début: 01/05/2026\nDate fin prévue: 01/11/2027","DIAGRAMME","diagramme pert,projet,construction bâtiment,durée totale,tâches critiques,fondations,structure,façade,intérieur,marge libre,tâches non critiques,date début,date fin prévue",0.93
147,"FACTURE N°2026-016\nDate: 16/04/2026\nClient: SARL Marketing Digital\nSIRET: 89012345678901\nMontant HT: 1950,00€\nTVA 20%: 390,00€\nMontant TTC: 2340,00€\nNet à payer: 2340,00€\nIBAN: FR96XXXXXXXXXXXXXXX\nBIC: NNNNNNNN\nDate d'échéance: 30/04/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
148,"TICKET DE CAISSE\nMagasin: Casino Supermarché\nDate: 17/04/2026 15:45\nArticles:\n- Steak haché: 4,80€\n- Pommes de terre: 2,50€\n- Salade: 1,80€\n- Vin rouge: 7,50€\nTotal TTC: 16,60€\nMoyen de paiement: Carte bancaire\nMerci pour vos achats !","RECU","ticket de caisse,magasin,date,steak haché,pommes terre,salade,vin rouge,total ttc,carte bancaire,merci",0.91
149,"CONTRAT DE LOCATION MEUBLÉE\nEntre:\n- Bailleur: Mme Claire Dubois\n- Locataire: M. Antoine Martin\nAdresse: Studio 25m², 18 rue des Écoles, 75005 Paris\nDurée: 1 an (01/05/2026-30/04/2027)\nLoyer: 950€/mois charges comprises\nDépôt de garantie: 950€\nInventaire: État des lieux d'entrée joint\nFait à Paris le 18 avril 2026","CONTRAT","contrat location meublée,bailleur,locataire,adresse,studio,durée,loyer,charges comprises,dépôt garantie,inventaire,état lieux entrée,fait à",0.97
150,"BON DE COMMANDE N°BC-2026-060\nDate: 19/04/2026\nRéférence client: CLT-234\nAdresse de livraison:\n30 rue de Rivoli, 75004 Paris\nMode d'expédition: Livraison express\nArticles commandés:\n- 5x Écrans 27 pouces\n- 5x Claviers mécaniques\n- 5x Souris gaming\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles informatique,écrans 27 pouces,claviers mécaniques,souris gaming,colis",0.93
151,"ATTESTATION EMPLOYEUR\nDélivrée par SARL Informatique Pro\nDate: 20/04/2026\nSalarié: M. Thomas Bernard\nAncienneté: 3 ans 6 mois\nPoste: Développeur web\nSalaire: 3200€ brut/mois\nMotif départ: Démission volontaire\nCachet et signature","ADMINISTRATIF","attestation employeur,société,date,salarié,ancienneté,poste,développeur web,salaire,motif départ,démission volontaire,cachet,signature",0.92
152,"RAPPORT D'ÉVALUATION\nÉvalué: Mme Sophie Martin\nPoste: Chef de produit\nPériode: Janvier-Décembre 2025\nObjectifs atteints: 95%\nCompétences techniques: Excellent\nCompétences managériales: Très bon\nPerspectives: Évolution vers directrice de division\nDate: 21/04/2026","RAPPORT","rapport évaluation,évalué,poste,chef produit,période,objectifs atteints,compétences techniques,compétences managériales,perspectives,évolution,directrice division,date",0.95
153,"LETTRE D'AVERTISSEMENT\nÀ l'attention de Monsieur Jean Dupont\nSociété: Services Techniques SA\nObjet: Retards répétés\nMonsieur,\nVos retards répétés (5 fois en mars) perturbent le fonctionnement de l'équipe.\nCet avertissement est conservé dans votre dossier personnel.\nToute récidive entraînera des mesures disciplinaires.\nVeuillez respecter vos horaires.\nFait à Paris le 22 avril 2026","CV_LETTRE","lettre avertissement,attention,société,objet,retards répétés,perturbent fonctionnement,équipe,avertissement,dossier personnel,récidive,mesures disciplinaires,respecter horaires,fait à",0.94
154,"THÈSE DE MASTER EN DROIT\nTitre: 'Protection des données personnelles'\nAuteur: M. Antoine Laurent\nUniversité: Panthéon-Sorbonne\nMention: Très Bien\nDate: 15 avril 2026\nDirecteur: Prof. Élise Dubois\nRésumé: Analyse critique du RGPD et de son application...","ACADEMIQUE","thèse master droit,titre,auteur,université,panthéon-sorbonne,mention,très bien,date,directeur,résumé,analyse critique,rgpd,application",0.96
155,"JUGEMENT DE DIVORCE\nAffaire: Fam-2026-078\nParties:\n- Époux: M. Jean Martin\n- Épouse: Mme Sophie Dubois\nDécision: Divorce accepté par consentement mutuel\nGarde enfants: Alternée\nPrestation compensatoire: 50 000€\nDate: 23 avril 2026\nSigné par le Juge aux Affaires Familiales","JURIDIQUE","jugement divorce,affaire,parties,époux,épouse,décision,divorce accepté,consentement mutuel,garde enfants,alternée,prestation compensatoire,date,juge affaires familiales",0.97
156,"SCHEMA ARCHITECTURE LOGICIEL\nApplication: Système bancaire\nNiveaux:\n- Présentation: Web, mobile\n- Application: Microservices\n- Données: Base de données, cache\nTechnologies:\n- Frontend: React, Angular\n- Backend: Java, Spring Boot\n- Base: PostgreSQL, MongoDB\nSécurité: OAuth2, chiffrement AES","DIAGRAMME","schema architecture logiciel,application,système bancaire,niveaux,présentation,web,mobile,application,microservices,données,base données,cache,technologies,frontend,backend,base,sécurité",0.95
157,"FACTURE N°2026-017\nDate: 24/04/2026\nClient: SAS Conseil Stratégique\nSIRET: 90123456789012\nMontant HT: 4500,00€\nTVA 20%: 900,00€\nMontant TTC: 5400,00€\nNet à payer: 5400,00€\nIBAN: FR97XXXXXXXXXXXXXXX\nBIC: OOOOOOOO\nDate d'échéance: 08/05/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
158,"TICKET DE CAISSE\nMagasin: Monoprix Italie\nDate: 25/04/2026 12:10\nArticles:\n- Saumon fumé: 8,90€\n- Fromage de chèvre: 5,20€\n- Baguette: 0,95€\n- Mousse au chocolat: 3,50€\nTotal TTC: 18,55€\nMoyen de paiement: Carte bancaire\nMerci de votre visite !","RECU","ticket de caisse,magasin,date,saumon fumé,fromage chèvre,baguette,mousse chocolat,total ttc,carte bancaire,merci",0.93
159,"CONTRAT D'ASSURANCE VIE\nEntre:\n- Assureur: AXA France\n- Assuré: M. Jean Dupont\nType: Assurance vie entière\nCapital: 150 000€\nPrime annuelle: 1200€\nBénéficiaires: Ses enfants\nDurée: Vitalice\nDate: 26 avril 2026","CONTRAT","contrat assurance vie,assureur,assuré,type,assurance vie entière,capital,prime annuelle,bénéficiaires,enfants,durée,vitalice,date",0.98
160,"BON DE COMMANDE N°BC-2026-061\nDate: 27/04/2026\nRéférence client: CLT-345\nAdresse de livraison:\n25 boulevard Haussmann, 75008 Paris\nMode d'expédition: Livraison standard\nArticles commandés:\n- 3x Canapés d'angle\n- 2x Tables basses\n- 4x Fauteuils design\nNombre de colis: 5","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles mobilier,canapés angle,tables basses,fauteuils design,colis",0.92
161,"CERTIFICAT DE DÉCÈS\nDélivré par l'État Civil de Paris\nDate: 28/04/2026\nNom: Martin\nPrénoms: Pierre Jean\nDate de naissance: 15/03/1940\nDate de décès: 27/04/2026\nLieu de décès: Hôpital Saint-Louis, Paris\nCause du décès: Défaillance cardiaque\nCachet officiel","ADMINISTRATIF","certificat décès,état civil,date,nom,prénoms,date naissance,date décès,lieu décès,hôpital cause décès,défaillance cardiaque,cachet officiel",0.96
162,"RAPPORT DE SÉCURITÉ INFORMATIQUE\nPériode: Avril 2026\nVulnérabilités détectées: 8\n- 2 critiques\n- 3 importantes\n- 3 mineures\nCorrectifs appliqués: 6/8\nRecommandations:\n- Mise à jour systèmes\n- Formation phishing\n- Audit mensuel\nNiveau de risque: Moyen","RAPPORT","rapport sécurité informatique,période,vulnérabilités détectées,critiques,importantes,mineures,correctifs appliqués,recommandations,mise à jour systèmes,formation phishing,audit mensuel,niveau risque",0.97
163,"LETTRE DE FÉLICITATIONS CLIENT\nÀ l'attention de Madame Marie Bernard\nSociété: Services Premium\nObjet: Satisfaction client exceptionnelle\nMadame,\nNous vous remercions pour votre fidélité et vos retours positifs.\nEn reconnaissance, nous vous offrons un bon d'achat de 100€ valable sur notre site.\nCode: MERCI100\nValable jusqu'au 31/0","CONTACT","contact",0.8
164,"THÈSE DE DOCTORAT EN MÉDECINE\nTitre: 'Nouvelles thérapies contre le cancer'\nAuteur: Dr. Sophie Martin\nUniversité: Sorbonne Université\nDirecteur: Prof. Jean Dubois\nDate: 20 avril 2026\nJury: 7 membres\nRésumé: Étude clinique sur 500 patients...","ACADEMIQUE","thèse doctorat médecine,titre,auteur,université,directeur,date,jury,résumé,étude clinique,patients",0.99
165,"ACTE DE VENTE IMMOBILIER\nParties:\n- Vendeur: SCI Immobilier Paris\n- Acheteur: M. Antoine Bernard\nBien: Appartement 85m²\nAdresse: 20 rue de la Paix, 75002 Paris\nPrix: 750 000€\nDate: 29 avril 2026\nNotaire: Maître Claire Martin\nCachet et signatures","JURIDIQUE","acte vente immobilier,parties,vendeur,acheteur,bien,appartement,adresse,prix,date,notaire,cachet,signatures",0.97
166,"DIAGRAMME DE CLASSES DÉTAILLÉ\nSystème: Gestion RH\nClasses:\n- Employe\n  + attributs: id, nom, prenom, salaire\n  + méthodes: calculerSalaire(), calculerPrime()\n- Departement\n  + attributs: nom, budget\n  + méthodes: ajouterEmploye(), budgetRestant()\nRelations:\n- Composition (1:N)\n- Héritage (Cadre -> Employe)","DIAGRAMME","diagramme classes détaillé,système,gestion rh,classes,employe,attributs,méthodes,département,relations,composition,héritage",0.96
167,"FACTURE N°2026-018\nDate: 30/04/2026\nClient: SARL Juridique Conseil\nSIRET: 01234567890123\nMontant HT: 3200,00€\nTVA 20%: 640,00€\nMontant TTC: 3840,00€\nNet à payer: 3840,00€\nIBAN: FR98XXXXXXXXXXXXXXX\nBIC: PPPPPPPP\nDate d'échéance: 14/05/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.95
168,"TICKET DE CAISSE\nMagasin: Carrefour Market Italie\nDate: 01/05/2026 14:20\nArticles:\n- Poulet rôti: 6,50€\n- Riz basmati: 2,80€\n- Légumes surgelés: 3,20€\n- Yaourt grec: 2,50€\nTotal TTC: 15,00€\nMoyen de paiement: Carte bancaire\nMerci !","RECU","ticket de caisse,magasin,date,poulet rôti,riz basmati,légumes surgelés,yaourt grec,total ttc,carte bancaire,merci",0.92
169,"CONTRAT DE PRESTATION DE SERVICES\nEntre:\n- Client: Banque Nationale\n- Prestataire: CyberSecurity Pro\nObjet: Audit sécurité informatique\nDurée: 1 mois (mai 2026)\nPrix: 15 000€ HT\nConfidentialité: NDA signé\nLivrables: Rapport détaillé + recommandations\nDate: 02 mai 2026","CONTRAT","contrat prestation services,client,prestataire,objet,audit sécurité informatique,durée,prix,confidentialité,nda,livrables,rapport détaillé,recommandations,date",0.97
170,"BON DE COMMANDE N°BC-2026-062\nDate: 03/05/2026\nRéférence client: CLT-456\nAdresse de livraison:\n40 rue Saint-Honoré, 75001 Paris\nMode d'expédition: Livraison express\nArticles commandés:\n- 1x Serveur rack 2U\n- 2x Switches réseau\n- 1x Routeur sécurisé\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles informatique,serveur rack,switches réseau,routeur sécurisé,colis",0.94
171,"ATTESTATION PÔLE EMPLOI\nDélivrée par Pôle Emploi Paris\nDate: 04/05/2026\nDemandeur: M. Jean Dupont\nNuméro: PE-78901234\nSituation: Demande d'emploi\nDroit aux allocations: Oui\nMontant mensuel: 950€\nDurée: 12 mois\nCachet et signature","ADMINISTRATIF","attestation pôle emploi,date,demandeur,numéro,situation,demande emploi,droit allocations,montant mensuel,durée,cachet,signature",0.93
172,"RAPPORT DE MISSION AUDIT\nClient: Groupe Financier International\nPériode: Avril 2026\nAudit: Conformité RGPD\nConstatations:\n- Conformité globale: 85%\n- Points critiques: Gestion consentements\nRecommandations:\n- Mise à jour politiques\n- Formation DPD\n- Audit trimestriel\nDate: 05/05/2026","RAPPORT","rapport mission audit,client,période,audit,conformité rgpd,constatations,conformité globale,points critiques,gestion consentements,recommandations,mise à jour politiques,formation dpd,audit trimestriel,date",0.96
173,"LETTRE DE DÉMÉNAGEMENT\nÀ l'attention de Madame la Directrice\nSociété: Services Administratifs\nObjet: Changement d'adresse\nMadame,\nJe vous informe de mon changement d'adresse à compter du 15 mai 2026.\nNouvelle adresse: 25 avenue Victor Hugo, 75016 Paris\nTéléphone: 01 45 67 89 10\nEmail: jean.dupont@email.com\nVeuillez mettre à jour vos fichiers.\nCordialement,\nJean Dupont","CV_LETTRE","lettre déménagement,directrice,société,objet,changement adresse,comptant,nouvelle adresse,téléphone,email,mise à jour fichiers,cordialement",0.91
174,"COMMUNICATION CONGRÈS\nTitre: 'Intelligence artificielle explicable'\nAuteur: Dr. Antoine Martin\nCongrès: IA International 2026\nDate: 10 mai 2026\nLieu: Palais des Congrès, Paris\nDurée: 30 minutes\nSupport: Présentation disponible\nRésumé: Méthodes d'explication des modèles d'IA...","ACADEMIQUE","communication congrès,titre,auteur,congrès,date,lieu,palais congrès,durée,support,résumé,intelligence artificielle explicable,méthodes,modèles",0.95
175,"ORDONNANCE DE PAYMENT\nAffaire: RG 2026-078\nParties:\n- Demandeur: SARL Fournisseur\n- Défendeur: SARL Client\nMontant: 12 500€\nIntérêts: 5% par an\nDélai: Paiement sous 15 jours\nDate: 06 mai 2026\nSigné par le Juge des Référés","JURIDIQUE","ordonnance payment,affaire,parties,demandeur,défendeur,montant,intérêts,délai,paiement,juge référés",0.94
176,"DIAGRAMME DE SÉQUENCE DÉTAILLÉ\nScénario: Paiement en ligne\nActeurs:\n- Client\n- Serveur web\n- Passerelle paiement\n- Banque\nSéquence:\n1. Client choisit produit\n2. Serveur vérifie stock\n3. Client entre coordonnées bancaires\n4. Passerelle chiffre données\n5. Banque autorise transaction\n6. Confirmation envoyée","DIAGRAMME","diagramme séquence détaillé,scénario,paiement en ligne,acteurs,client,serveur web,passerelle paiement,banque,séquence,choisit produit,vérifie stock,coordonnées bancaires,chiffre données,autorise transaction,confirmation",0.95
177,"FACTURE N°2026-019\nDate: 07/05/2026\nClient: SARL Architecture Intérieure\nSIRET: 12345678901234\nMontant HT: 2750,00€\nTVA 20%: 550,00€\nMontant TTC: 3300,00€\nNet à payer: 3300,00€\nIBAN: FR99XXXXXXXXXXXXXXX\nBIC: QQQQQQQQ\nDate d'échéance: 21/05/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
178,"TICKET DE CAISSE\nMagasin: Franprix Sébastopol\nDate: 08/05/2026 11:45\nArticles:\n- Pâtes fraîches: 1,80€\n- Sauce pesto: 2,50€\n- Grana Padano: 4,20€\n- Vin italien: 9,50€\nTotal TTC: 18,00€\nMoyen de paiement: Espèces\nMerci !","RECU","ticket de caisse,magasin,date,pâtes fraîches,sauce pesto,grana padano,vin italien,total ttc,espèces,merci",0.91
179,"CONTRAT DE CDD COURT TERME\nEntre:\n- Employeur: SARL Événementielle\n- Employé: Mme Claire Bernard\nPoste: Hôtesse d'accueil\nDurée: 15 jours (15-30 mai 2026)\nSalaire: 1050€ brut\nHoraires: 9h-18h avec 1h pause\nFait à Paris le 09 mai 2026","CONTRAT","contrat cdd court terme,employeur,employé,poste,hôtesse accueil,durée,salaire,horaires,heure pause,fait à",0.95
180,"BON DE COMMANDE N°BC-2026-063\nDate: 10/05/2026\nRéférence client: CLT-567\nAdresse de livraison:\n35 rue de la République, 69002 Lyon\nMode d'expédition: Livraison standard\nArticles commandés:\n- 1x Imprimante multifonction A3\n- 1x Scanner documentaire\n- 1x Destructeur de documents niveau 3\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles bureau,imprimante multifonction,scanner documentaire,destructeur documents,colis",0.93
181,"CERTIFICAT MÉDICAL EXAMEN PÉRIODIQUE\nDélivré par le Dr. Laurent\nDate: 11/05/2026\nSalarié: M. Thomas Martin\nPoste: Conducteur poids lourd\nAvis: Aptitude totale\nRestrictions: Aucune\nValidité: 2 ans\nCachet et signature du médecin du travail","MEDICAL","certificat médical examen périodique,médecin,date,salarié,poste,conducteur poids lourd,avis,aptitude totale,restrictions,aucune,validité,cachet,signature,médecin travail",0.97
182,"RAPPORT DE PERFORMANCE TRIMESTRIEL\nPériode: T1 2026\nChiffre d'affaires: 2 450 000€ (+8% vs N-1)\nRésultat net: 350 000€\nMarge: 14,3%\nEffectif: 42 salariés\nSatisfaction client: 4,2/5\nObjectifs T2:\n- Croissance marché européen\n- Lancement nouveau produit\n- Optimisation coûts","RAPPORT","rapport performance trimestriel,période,t1 2026,chiffre affaires,croissance,résultat net,marge,effectif,satisfaction client,objectifs,t2,croissance marché européen,lancement nouveau produit,optimisation coûts",0.96
183,"LETTRE DE RELANCE PAIEMENT\nÀ l'attention de Madame la Comptabilité\nSociété: Fournitures Bureau SA\nObjet: Facture impayée N°2026-045\nMadame,\nNotre facture du 15 avril 2026 d'un montant de 1250€ n'est toujours pas réglée.\nMerci de régulariser sous 5 jours ouvrés.\nEn cas de non-paiement, nous engagerons des poursuites.\nCordialement,\nService recouvrement","CV_LETTRE","lettre relance paiement,comptabilité,société,objet,facture impayée,montant,non réglée,régulariser,5 jours ouvrés,poursuites,cordialement,service recouvrement",0.94
184,"THÈSE DE MASTER EN HISTOIRE\nTitre: 'Révolutions sociales du XIXe siècle'\nAuteur: Mme Élise Dubois\nUniversité: Paris 1 Panthéon-Sorbonne\nMention: Bien\nDate: 05 mai 2026\nDirecteur: Prof. Marc Bernard\nRésumé: Analyse comparative des révolutions de 1830, 1848 et 1871...","ACADEMIQUE","thèse master histoire,titre,auteur,université,mention,bien,date,directeur,résumé,analyse comparative,révolutions,sociales,xixe siècle",0.95
